date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
307,3,2.98,2224,12551,1.0,0,0,3,7,2246,0,1990,0,98033,47.308,-121.983,1723,47257,409008
358,2,0.89,1120,6422,1.0,0,0,4,6,1217,721,1936,0,98118,47.3799,-122.214,1743,12213,99923
13,4,3.61,1911,110899,2.0,0,0,4,7,2935,0,2004,0,98033,47.6607,-122.053,2154,35795,281710
349,4,3.29,1681,151909,3.0,0,0,3,6,3833,0,2004,0,98102,47.6642,-121.845,3276,5377,804034
143,4,2.86,1676,9973,2.0,0,0,3,6,2593,560,2006,0,98023,47.5091,-121.939,2127,7070,360185
265,4,3.1,1302,7659,2.0,0,0,3,8,2940,0,2007,0,98033,47.6319,-121.774,2956,61547,288254
319,3,1.36,1263,11411,1.0,0,0,3,8,1367,0,1958,0,98023,47.4957,-122.111,1876,4311,525345
297,3,1.06,1421,243088,1.0,0,0,4,7,1390,0,1943,0,98092,47.309,-122.34,1245,5985,459458
349,4,3.43,3602,20001,1.0,1,0,3,5,3803,841,1978,0,98075,47.6064,-122.059,3344,49818,472360
326,4,1.18,1043,21981,1.0,0,4,3,12,1365,0,1950,0,98107,47.7022,-122.092,1980,4569,254173
222,2,0.48,734,655,1.0,0,0,5,8,640,0,1921,0,98019,47.67,-122.368,2028,8575,120146
53,3,3.1,1580,51889,2.0,0,0,3,8,3589,0,2008,0,98105,47.6333,-121.99,3074,33569,1022985
266,3,3.06,1762,11019,2.0,0,0,4,8,2641,0,2007,0,98116,47.5075,-122.049,2083,36000,274201
57,2,1.65,3100,3417,2.0,0,2,4,10,4433,1752,1976,2013,98042,47.6978,-122.036,3714,7842,1115886
350,3,2.23,5773,4359,2.0,0,0,3,10,3392,1036,1988,0,98103,47.6946,-122.276,2725,8968,547376
317,4,2.47,2946,2490,3.0,0,0,3,5,4447,1412,1997,0,98102,47.6999,-122.266,2918,10729,776235
324,3,1.69,1904,11486,1.0,0,0,5,7,1331,219,1945,0,98034,47.6919,-122.215,1406,8741,785309
314,3,2.53,2199,11725,1.0,0,0,3,8,1684,0,1960,0,98058,47.6298,-122.206,1793,5443,385644
52,3,1.77,2128,137728,1.0,0,0,5,9,1981,981,1942,0,98070,47.674,-121.993,3483,46183,497532
87,2,3.09,3063,119087,1.0,0,0,3,9,1441,0,1993,0,98074,47.6273,-122.254,1959,7963,405561
323,3,1.39,1509,24259,1.0,1,0,3,7,1423,542,1959,0,98144,47.3967,-122.136,1518,6791,1976865
274,3,2.35,3264,1558,2.0,0,0,4,8,4697,0,1988,0,98031,47.7565,-122.112,3704,9868,1181422
11,4,3.87,2104,11370,2.0,0,0,3,9,2689,0,2007,0,98133,47.687,-122.036,1996,7650,1471270
296,4,4.44,4411,36022,1.0,0,3,3,8,3053,0,1998,0,98122,47.3125,-122.371,1808,9141,773940
62,3,2.34,1904,13515,2.0,1,0,3,7,1671,0,1983,2010,98103,47.7634,-121.946,2034,229771,1831724
222,3,1.48,1728,56692,1.0,0,0,3,7,1389,0,1951,0,98027,47.3309,-122.252,1454,4623,342397
319,3,2.62,1854,9579,1.0,0,0,3,7,1691,765,1950,1968,98116,47.399,-122.063,2403,3086,642035
300,3,4.13,2059,6436,2.0,0,0,3,9,3842,1364,2003,1975,98092,47.5515,-121.969,3262,20009,433760
187,5,4.02,2693,11353,1.0,0,0,3,7,3063,0,2001,0,98003,47.4825,-122.102,1850,11793,155807
