date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
279,6,2.23,3313,3544,2.0,0,4,5,7,2340,1608,1963,0,98115,47.5947,-122.35,3059,166155,668946
118,4,4.32,4563,10571,2.0,0,1,5,10,3830,0,1984,0,98027,47.7018,-122.065,2515,14491,385450
328,4,5.13,4298,220780,1.0,0,2,3,7,1962,954,1967,0,98034,47.6528,-122.353,1848,5434,997347
103,2,0.81,624,1947,1.0,0,0,2,6,712,0,1918,0,98125,47.6948,-122.231,1406,7011,205555
177,2,0.99,1270,32721,1.0,0,0,4,7,1781,0,1920,0,98118,47.7435,-122.066,2328,50641,757298
61,7,1.25,975,548,1.0,0,0,4,8,892,448,1916,0,98188,47.5539,-122.422,1399,35587,359864
67,3,3.19,3193,10099,2.0,0,0,3,7,3333,0,1989,0,98065,47.4816,-122.001,2394,150845,1154651
66,4,2.55,4072,17405,2.0,1,0,3,9,3642,924,2004,0,98112,47.7488,-122.007,3074,5021,789714
347,4,1.28,5336,5261,1.0,0,3,3,9,2720,0,1986,0,98103,47.5653,-122.135,4110,5872,858134
361,3,3.27,1426,6914,2.0,0,0,4,7,1425,0,1941,0,98042,47.4992,-122.129,1811,10385,456491
144,2,1.89,1620,10754,1.0,0,3,4,8,2149,0,1918,0,98040,47.6395,-122.332,2264,13666,642220
58,2,1.91,1944,1736,2.0,0,4,4,7,2003,1423,1923,1989,98148,47.672,-122.425,2426,3429,2244629
315,5,2.52,2342,3848,1.5,0,0,3,7,2069,0,1933,0,98007,47.61,-122.404,2443,3549,2351283
60,3,1.2,1053,6451,2.0,0,0,5,8,769,236,1943,0,98188,47.4915,-122.185,1138,8865,269130
62,4,2.41,1609,5778,2.0,1,0,3,7,1690,0,1995,0,98148,47.284,-122.136,1845,23841,177286
55,4,1.32,3948,8368,1.0,0,0,3,7,3242,0,1994,0,98119,47.5717,-121.945,4017,15085,987030
277,4,2.59,2392,50975,1.5,0,0,3,12,3070,0,2008,0,98070,47.465,-122.112,1932,5285,576356
137,3,1.4,1025,12604,1.0,0,0,4,4,724,0,1958,0,98168,47.506,-122.214,1093,7247,313024
150,4,4.47,4917,20382,1.0,0,4,4,12,3658,1938,1971,1996,98168,47.3879,-122.225,2542,14305,2979643
106,4,2.04,2161,10845,1.0,0,0,3,10,2658,0,2006,0,98125,47.4928,-121.872,2017,7042,555164
168,2,1.72,1808,10354,1.0,0,0,4,7,1950,0,2000,0,98027,47.3364,-121.939,1620,5382,480866
284,5,2.67,1422,240416,1.0,0,0,3,6,920,0,1992,0,98115,47.4919,-122.179,1175,6490,490856
136,1,1.93,1206,7186,1.0,0,0,3,11,791,477,1987,0,98034,47.6773,-122.198,1059,6265,310757
138,1,2.63,5718,46978,1.5,0,4,4,8,3524,1363,1993,0,98178,47.6416,-122.192,3609,56738,2096435
105,3,0.81,661,1425,1.0,0,0,5,6,793,202,1915,0,98116,47.3686,-122.256,1550,4319,190784
60,7,2.5,1662,145603,2.0,0,2,3,7,1135,1201,1979,0,98136,47.6258,-122.441,1349,3318,225342
58,3,0.85,764,24757,1.0,0,0,3,7,993,749,1917,0,98117,47.6618,-122.414,1591,8136,501639
69,3,3.47,2837,20088,2.0,0,4,5,9,3945,936,2001,0,98006,47.4609,-122.0,2477,10669,278914
153,2,1.41,924,3560,1.0,1,0,4,7,1140,750,1921,0,98177,47.3792,-122.326,1779,6616,400066
