age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
34,4,124381,11,2,10,0,4,1,16043,0,60,39,1
31,4,107821,1,0,8,1,4,1,1970,0,40,39,0
30,6,194861,15,5,10,1,4,0,0,0,40,39,0
30,4,238463,11,4,8,4,4,1,0,0,20,39,0
39,4,207052,0,4,6,4,1,0,0,0,69,39,0
55,4,47777,15,2,14,0,4,1,0,0,40,39,0
50,6,294713,11,0,4,0,0,1,0,0,83,24,1
44,4,172996,9,2,4,5,1,1,7489,1988,60,39,1
33,4,274906,8,2,12,0,2,1,15150,0,40,39,1
33,4,237820,15,2,12,0,4,0,8278,0,35,39,1
60,4,130910,15,2,7,0,4,1,0,0,40,39,0
57,5,121206,9,2,14,0,0,1,0,0,50,39,1
25,4,107531,5,4,10,3,0,0,0,2493,49,39,1
26,4,116086,9,4,12,4,4,1,2298,0,40,39,0
51,4,621279,7,2,4,0,4,1,0,0,55,30,0
27,4,102818,11,3,10,3,4,1,0,0,40,39,1
40,4,252457,11,0,5,4,4,1,0,0,40,13,0
42,8,160971,4,3,8,4,1,0,0,0,40,39,0
28,0,290478,15,4,6,3,4,0,0,0,67,39,0
63,3,184621,15,2,3,0,4,1,0,1888,55,39,1
29,2,163808,11,3,1,1,4,0,1789,0,40,39,0
57,6,45432,7,2,12,0,4,1,0,0,50,39,1
40,4,249795,11,0,0,1,3,0,0,0,23,19,0
27,5,184209,1,6,1,1,4,0,0,0,40,39,1
67,5,124432,8,2,5,0,4,1,0,0,40,39,0
44,6,176044,11,0,5,4,4,0,0,0,40,33,0
45,4,172825,15,2,0,0,4,0,0,0,52,39,0
32,4,113420,4,4,8,3,4,1,0,1666,50,39,0
37,4,193109,8,0,8,4,3,0,0,0,40,39,0
26,2,227856,9,5,4,1,4,1,16325,0,60,39,0
46,7,90822,11,0,1,0,4,1,1268,0,40,39,0
48,0,160713,5,2,7,0,1,1,0,0,40,39,0
31,4,237291,9,4,8,1,4,1,0,0,33,39,0
27,4,104223,8,4,10,3,4,0,0,0,20,39,0
34,4,123011,15,4,12,2,4,0,0,0,40,39,0
47,6,197427,2,2,4,0,4,1,0,0,40,39,0
35,2,185790,5,5,0,0,1,0,0,0,38,39,0
29,0,41410,15,0,0,1,4,1,0,0,67,39,1
39,4,174879,14,2,1,0,1,1,0,0,60,39,0
30,4,277763,9,0,4,5,4,0,104660,0,60,39,1
40,4,305989,11,0,5,5,2,0,0,0,91,39,0
59,6,130657,12,2,10,0,4,1,0,0,50,39,1
38,0,175336,11,4,6,4,4,1,0,0,35,39,0
32,4,285823,15,4,10,1,4,0,0,0,40,39,0
47,6,34156,5,2,3,0,4,1,0,0,40,39,0
63,4,209013,15,2,11,0,4,1,3386,0,40,39,0
34,8,183498,14,2,14,0,4,1,0,0,19,39,0
29,4,168182,9,4,3,4,4,0,0,0,55,39,0
38,4,76899,9,2,12,0,4,1,0,0,40,4,0
41,4,247450,11,6,10,4,2,0,0,0,40,39,0
48,4,195246,15,2,10,0,1,1,3722,0,40,26,1
62,4,257076,6,2,3,0,4,1,0,0,40,24,0
30,4,143489,9,3,10,5,4,1,0,0,20,39,0
