date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
109,4,4.21,2057,37689,1.0,0,0,3,8,1994,772,1991,2001,98075,47.7069,-122.352,1614,7162,751258
311,4,1.18,1372,6179,1.0,0,2,3,7,2797,0,1979,0,98052,47.4117,-122.333,1689,7903,510065
211,5,1.13,1304,6294,1.5,0,0,3,8,1267,0,1977,0,98022,47.4701,-122.258,1245,9640,197021
68,2,3.8,4198,15839,2.0,0,0,3,7,2172,1269,1975,0,98115,47.3603,-122.437,1378,7248,768914
142,3,2.9,1746,3294,1.0,0,0,3,8,1123,1068,1928,0,98034,47.3661,-122.372,1451,6973,523047
350,3,4.0,1551,6296,1.0,0,0,3,6,1941,1233,1988,0,98045,47.6415,-122.271,2001,4358,793114
113,5,2.13,3970,99969,1.0,0,1,3,7,4147,0,1985,0,98007,47.2195,-122.131,3554,15439,929944
166,5,1.05,974,26408,1.0,0,2,3,9,656,0,1942,0,98146,47.3568,-122.315,1360,3876,309712
307,4,1.5,1260,3164,1.5,0,0,3,8,1454,0,1918,0,98116,47.3025,-122.161,2336,11378,498570
58,3,1.16,916,10315,1.0,1,0,5,7,698,0,1950,0,98107,47.3999,-122.259,1658,3265,341971
144,2,4.21,3780,90826,2.0,0,0,3,8,4250,516,1992,0,98003,47.5236,-122.029,3453,7302,2395658
315,3,3.48,1895,17540,1.0,0,0,3,8,1999,0,1996,0,98028,47.5443,-122.145,1692,8188,560451
145,7,3.41,4382,6428,1.5,0,0,3,6,1842,987,1940,0,98033,47.5275,-122.474,1167,7903,524523
209,3,1.72,2668,2124,2.0,0,1,4,8,1428,463,1903,0,98022,47.4302,-122.353,1833,5824,569815
206,3,0.9,850,186249,1.0,0,0,4,4,687,673,1959,0,98007,47.3503,-122.265,1405,7343,226316
133,4,2.56,1489,3723,1.0,0,0,3,7,1446,459,1927,2005,98118,47.675,-122.36,1482,8825,441577
115,3,5.0,4537,9111,3.5,1,4,3,8,2928,867,1982,0,98008,47.7258,-122.335,3252,8665,2079891
274,3,1.23,1235,6758,1.0,0,0,1,7,1134,866,1909,0,98122,47.643,-122.217,2108,3023,336851
283,3,2.56,2349,9125,2.0,0,0,3,8,2687,0,2001,0,98065,47.7528,-122.107,1950,10684,290885
312,3,2.17,2193,6937,2.0,0,2,3,8,3634,1547,1986,0,98038,47.637,-122.167,3083,5028,784582
215,4,4.92,2612,6125,1.5,0,0,1,7,2166,256,1978,0,98023,47.4857,-122.282,1850,6867,187325
164,3,0.86,845,6297,1.0,0,0,3,8,649,0,1968,0,98077,47.3485,-122.196,1476,10589,226305
313,4,2.94,1836,230380,1.5,0,0,3,7,2485,0,1998,0,98074,47.7305,-122.168,1927,5341,474823
19,4,2.29,1531,14574,1.0,0,0,3,7,2804,0,1981,2010,98034,47.3354,-122.073,2038,6097,395634
354,3,2.86,2696,18977,2.0,0,0,3,9,2755,0,2003,0,98199,47.5647,-122.208,1598,13502,681313
18,3,0.96,831,5761,1.0,0,0,5,8,555,0,1961,0,98166,47.4997,-122.134,1529,6827,411658
111,4,2.94,4091,9476,3.0,0,0,3,5,4196,0,2003,2011,98038,47.5113,-122.095,3413,4019,792983
178,4,1.89,2180,6633,2.0,0,0,3,7,3650,254,1983,0,98059,47.7451,-122.03,2714,38721,285068
67,4,4.49,5569,8869,2.0,0,0,3,9,4018,0,1998,0,98004,47.5235,-121.975,2959,5530,597636
282,3,1.04,1208,3346,1.5,0,0,4,4,666,0,1920,0,98178,47.5774,-122.417,1128,10991,514328
172,5,2.7,2723,18243,2.0,0,0,3,8,3416,0,2000,0,98005,47.5536,-122.014,2388,202272,632230
60,4,1.38,1406,5175,2.0,0,0,3,6,2252,0,1964,0,98027,47.591,-122.302,1838,5009,427395
67,4,1.83,2523,8800,3.0,1,2,5,11,3411,1602,1969,0,98006,47.5558,-122.185,3730,20137,1149113
279,3,1.85,2366,14741,1.5,0,0,3,7,2863,0,1985,0,98038,47.5113,-121.923,2208,7522,876329
309,6,0.6,845,4136,2.0,1,0,4,6,496,0,1928,0,98122,47.6233,-122.189,1645,8113,199982
146,3,4.14,3376,6410,1.0,0,3,3,8,2104,863,1958,0,98126,47.4859,-122.362,2480,16605,1482162
349,4,0.76,774,29322,1.0,0,0,3,7,613,498,1955,0,98007,47.5503,-122.116,1884,6521,239872
180,4,1.79,2935,45806,1.0,0,3,4,11,2565,1612,1960,0,98040,47.6256,-122.371,2911,19018,547482
59,3,2.06,1365,2539,1.0,0,0,3,7,880,611,1914,0,98029,47.363,-122.332,1662,7120,535651
274,4,1.22,786,5549,1.0,0,0,1,7,829,0,1973,0,98033,47.6295,-122.194,1764,6692,698966
315,3,3.76,3259,42330,3.0,0,0,4,7,3122,0,1994,0,98148,47.6523,-121.98,2147,17237,405735
100,3,0.7,775,5055,1.0,0,2,4,8,603,0,1953,0,98065,47.7437,-122.209,1524,6379,270552
309,3,1.52,1361,7334,2.0,0,0,3,7,1498,0,1982,0,98022,47.5083,-121.98,1972,6833,186367
314,2,3.9,2554,4467,1.0,0,2,3,8,1783,1228,1943,0,98177,47.6334,-122.404,1636,3923,373473
208,6,2.01,1651,7973,2.0,0,0,3,8,1545,0,1993,1965,98027,47.3315,-122.208,1419,2078,367476
142,4,2.59,3627,15279,2.0,0,0,3,8,3454,0,1989,0,98146,47.6876,-121.816,2700,112510,1918493
56,3,1.46,911,7264,1.5,0,0,4,6,1436,0,1987,0,98059,47.4676,-122.143,1722,4741,283167
208,3,1.62,1351,5428,2.0,1,0,3,6,791,0,1954,1988,98168,47.4783,-122.242,1367,12576,241577
278,3,2.13,1608,7175,1.0,0,0,3,7,2159,0,1991,0,98144,47.3747,-122.129,2033,1604,344875
217,2,2.42,4939,17334,2.0,0,0,3,5,4479,0,1991,0,98014,47.3366,-122.062,3680,11137,1710815
272,5,1.02,815,6269,1.0,0,0,5,9,680,0,1969,0,98065,47.5474,-122.118,1662,8955,439594
320,5,2.77,3857,7979,2.0,0,4,3,8,2322,904,1955,0,98033,47.6625,-122.361,3213,6069,1087610
148,5,2.35,4993,18759,2.0,0,0,4,13,4295,356,1991,0,98146,47.6262,-122.136,3792,14410,806826
65,6,3.3,3233,52005,2.0,0,0,3,8,2977,0,2006,0,98198,47.761,-122.299,1821,3423,1455133
354,2,1.9,2451,15618,1.0,0,0,3,10,2680,565,1953,0,98075,47.6324,-122.249,3268,12821,1579249
209,3,1.4,1935,6989,2.0,0,0,3,8,1238,0,1972,1989,98102,47.7398,-121.868,1633,120028,217412
312,3,1.73,1326,6879,1.5,0,0,3,7,2680,0,1992,0,98148,47.5555,-122.081,2243,8444,648838
163,2,1.11,896,6886,1.0,0,0,3,7,1110,0,1975,0,98045,47.5394,-122.05,1904,36245,460506
109,3,3.2,1941,6898,1.0,0,0,3,7,2098,0,1988,0,98001,47.5193,-122.229,1858,7663,570930
307,3,0.67,873,3609,1.0,0,0,5,7,588,0,1920,0,98033,47.3184,-122.192,1773,10045,374731
349,3,0.75,761,5857,1.0,0,0,3,7,561,0,1963,0,98038,47.7431,-122.164,1534,7952,232672
25,2,2.15,3944,16913,2.0,0,1,5,10,4331,1241,1989,0,98007,47.7464,-122.071,3590,7559,1678881
350,3,1.6,1009,6925,1.0,0,0,3,7,1286,0,1986,0,98006,47.3592,-122.149,1754,6307,1058173
207,3,2.08,1149,7362,1.5,0,0,4,7,1473,0,1990,0,98125,47.573,-122.185,1596,6396,283448
66,5,5.8,4039,43744,2.0,0,0,3,7,2824,1299,1985,0,98024,47.7145,-122.359,2178,11346,339634
276,3,1.07,883,6145,1.0,1,0,3,7,661,1167,1973,0,98033,47.4938,-122.192,1546,5332,339202
26,5,4.45,4871,9753,2.0,0,2,5,11,3888,0,1996,1972,98056,47.6689,-122.204,3610,13985,730459
26,4,3.79,4500,238342,2.5,0,0,3,9,3757,0,1997,0,98198,47.6965,-122.2,3512,202100,1084634
135,4,3.17,1628,6660,1.0,0,0,3,7,2285,0,1981,2001,98177,47.7497,-122.104,1917,11815,309551
136,3,1.36,1485,1583,1.0,0,0,3,6,944,0,1904,0,98116,47.7344,-122.254,1948,10286,283172
135,0,0.96,949,6053,1.0,0,0,4,7,569,0,1966,0,98006,47.4647,-122.31,1144,8532,254170
310,2,0.74,732,5728,1.0,0,0,4,7,480,0,1962,0,98177,47.7486,-122.222,1385,47322,258250
169,3,1.17,1292,4943,1.0,0,0,4,6,903,138,1943,0,98102,47.5965,-122.331,1371,4098,291234
67,3,3.75,4035,47392,1.5,0,0,5,10,3605,0,1984,0,98052,47.6488,-122.308,3278,20841,753726
352,3,1.63,1640,7763,1.0,0,0,3,5,1104,0,1987,0,98008,47.6343,-122.422,832,4670,881639
17,3,0.78,813,5375,1.0,0,0,5,7,715,0,1954,0,98038,47.7301,-122.103,1857,17705,321668
282,5,1.61,3954,7481,2.0,0,0,3,10,4283,0,1989,0,98058,47.322,-121.813,3139,104401,794222
169,1,2.67,1703,6395,2.0,0,0,3,7,2557,0,1984,0,98027,47.6203,-122.385,1449,9251,629006
177,4,1.21,3700,44418,2.0,0,0,3,11,4289,0,1989,0,98014,47.3161,-122.167,3285,15043,1583508
58,4,1.36,1411,3426,1.0,0,0,3,12,758,616,1919,0,98019,47.5003,-122.344,1269,6588,339783
283,3,1.77,1468,197404,1.0,0,0,3,8,888,707,1980,0,98027,47.5262,-122.393,969,4064,288853
315,3,2.9,2772,46853,2.0,0,0,3,8,3300,0,2002,0,98155,47.7032,-122.262,2658,4270,757448
311,3,1.35,1019,3906,1.0,0,0,3,8,1266,0,1938,0,98092,47.4576,-122.207,2195,6052,298929
131,3,0.74,709,4422,1.0,0,2,3,6,593,686,1943,0,98117,47.7424,-122.151,1833,5667,351786
27,33,1.61,2264,42427,2.0,0,4,4,8,2398,1636,1953,1991,98074,47.5565,-122.259,3329,7956,2443327
309,3,1.1,898,7538,2.0,0,0,3,7,981,0,1982,2001,98038,47.6264,-122.131,1616,8232,285490
312,3,1.26,1413,5076,1.0,0,0,4,8,1348,907,1948,0,98133,47.5389,-122.377,1437,8769,368314
288,5,4.4,4732,8430,1.0,0,0,4,9,4425,1029,1993,0,98006,47.6387,-122.026,3577,245096,1213036
353,3,1.08,2216,1233,2.0,0,0,2,7,1022,0,1901,0,98112,47.6612,-122.34,1952,6708,531208
314,4,1.85,1366,7494,1.0,0,0,3,8,981,1064,1990,0,98116,47.7633,-122.104,1488,1101,297207
210,3,0.84,996,4881,1.0,0,0,3,6,684,887,1946,0,98029,47.2616,-122.267,1441,13321,202348
148,4,5.78,4965,9366,2.5,0,3,3,8,2930,0,1990,0,98005,47.6965,-122.354,2762,5091,570015
311,3,1.19,1313,5327,2.0,0,0,3,7,1100,0,1956,0,98188,47.4876,-122.335,1422,3119,265482
356,4,3.31,3188,13702,2.0,0,2,1,11,1670,0,1969,0,98004,47.4229,-122.362,2028,14903,808858
19,3,1.76,1346,8062,1.5,0,0,3,7,1934,556,1991,0,98055,47.4986,-122.143,1689,5476,272500
56,3,0.8,777,4889,3.0,0,0,4,6,565,0,1950,1989,98092,47.7457,-122.23,1548,7699,235616
351,3,1.19,1169,13508,1.0,0,0,3,7,845,0,1976,0,98077,47.2778,-122.382,1051,5769,355853
310,6,1.12,1064,3238,1.0,0,3,4,7,672,0,1919,0,98008,47.3259,-122.133,2037,3064,342088
138,3,2.7,1656,7415,2.0,0,0,3,7,1308,0,1988,0,98038,47.6794,-122.326,1232,4494,606002
275,3,0.79,924,34182,1.0,0,0,5,8,530,0,1964,0,98038,47.5469,-122.219,1277,5102,315684
351,4,2.71,1679,15789,2.0,0,0,3,7,2583,0,1993,0,98122,47.7359,-122.158,1840,69208,734808
349,2,1.09,781,73902,1.0,0,0,3,4,785,934,1973,0,98058,47.5511,-122.222,1504,8184,239001
104,2,0.91,1227,34032,2.0,0,0,3,6,629,0,1954,0,98011,47.7374,-122.082,1323,12075,255331
21,3,1.0,1745,12479,1.0,0,2,4,8,1127,0,1902,0,98010,47.6614,-122.204,2326,7249,1040131
21,3,1.38,1738,6585,1.0,0,0,3,7,1635,0,1973,0,98008,47.7482,-122.245,1513,14614,304870
171,5,4.03,2377,7754,1.5,0,0,3,8,2500,0,1993,0,98136,47.7071,-122.179,2172,6339,391930
56,3,0.99,940,5303,2.0,0,0,1,8,1186,0,1963,0,98178,47.4804,-122.06,2174,66014,337470
312,4,0.95,931,5699,1.0,0,0,4,8,657,0,1968,0,98133,47.7229,-122.285,1337,5034,572300
