age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
28,4,284634,11,3,8,2,0,1,0,0,60,39,0
35,4,244792,0,4,12,1,2,1,0,0,40,39,0
49,2,78865,11,0,0,1,4,0,0,0,40,39,0
51,6,259770,3,2,10,0,4,1,0,0,40,39,1
40,4,303087,12,4,8,1,4,0,0,0,50,39,0
28,4,350442,12,0,8,4,0,0,3984,0,50,39,0
41,4,32169,12,2,10,0,4,1,0,0,40,39,1
38,6,141292,14,2,3,0,4,1,0,0,45,10,0
33,4,135327,15,2,12,0,1,1,0,0,21,39,0
65,2,210744,15,2,1,0,4,1,0,0,35,39,0
73,0,65648,9,4,0,5,4,0,0,0,40,39,1
42,5,277596,6,2,5,0,4,1,0,0,11,39,0
55,6,118297,11,2,9,5,4,0,2769,0,25,39,0
29,4,251961,12,3,8,1,2,0,0,0,50,39,0
43,4,212608,0,0,1,1,4,0,0,0,35,39,1
66,2,116786,6,6,8,1,4,1,0,0,49,39,0
37,4,137624,9,2,14,0,4,1,0,0,50,39,0
55,4,148355,15,2,3,0,4,1,641,0,40,39,0
62,4,203150,9,4,10,1,4,0,0,1586,24,39,0
35,1,255688,15,4,4,1,4,1,0,0,40,39,0
60,4,29286,6,4,8,3,4,1,0,0,80,39,0
39,4,318663,14,2,8,0,2,1,0,0,40,30,1
36,4,200619,15,4,8,3,4,0,0,0,34,39,0
32,4,262536,15,2,10,0,4,1,0,1889,40,39,0
42,5,258826,15,2,4,0,4,1,2744,0,45,39,0
33,4,391226,11,4,12,3,1,1,0,0,40,39,0
31,4,181454,11,0,1,1,0,1,0,0,40,39,0
26,4,187099,11,4,14,3,4,0,0,0,20,39,0
28,0,340712,1,5,6,1,2,0,0,0,40,39,0
44,7,247936,15,2,13,0,4,1,0,0,20,39,0
31,4,215411,9,3,10,1,4,1,0,2332,55,39,0
32,7,230587,11,2,8,3,3,1,0,0,40,39,0
45,4,197754,15,2,4,0,4,1,0,0,34,39,1
31,4,54053,11,2,3,0,4,1,0,0,12,39,0
32,4,179363,6,3,7,3,4,0,0,0,40,6,0
66,4,145120,7,2,1,0,4,1,9033,1805,45,39,1
38,4,189817,12,2,10,0,4,1,0,0,50,39,0
40,4,324597,11,2,11,0,4,1,0,0,40,19,0
28,6,229893,11,4,6,4,2,1,0,0,34,39,0
41,4,246837,10,2,5,0,4,1,0,0,50,39,0
33,4,184352,11,2,8,1,4,1,0,0,40,39,0
32,4,168891,9,0,1,1,4,1,0,0,33,39,0
68,1,16965,11,2,11,3,4,0,0,0,27,39,0
29,4,132108,9,0,3,1,4,0,0,0,40,39,0
29,4,228153,0,4,1,1,2,1,0,0,40,39,0
30,4,324828,11,0,8,1,4,0,0,0,40,26,0
61,4,225129,1,6,6,1,4,0,0,0,40,39,0
28,4,181582,4,0,1,1,2,0,0,0,40,39,0
31,4,106933,11,4,1,3,3,1,0,0,40,39,0
29,4,384888,15,4,6,3,4,0,0,0,50,6,0
28,4,127009,9,4,7,3,1,0,1257,1559,20,39,0
39,4,331630,11,4,7,1,4,0,0,0,34,39,0
