fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,payment_type,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,has_other_cards,proposed_credit_limit,device_os,keep_alive_session,device_distinct_emails_8w
0,0.2973467319944762,0.1715624198049775,,36.3,40,AA,6,CA,125,0,BC,0,0,1501.0,other,1,1.0
0,0.2025092421662766,0.24968065170128464,,8.7,30,AB,17,CA,278,0,BC,0,1,1497.3,windows,0,
0,0.6972561987869239,0.3264927863778359,,38.4,40,AC,9,CA,223,1,BB,1,0,1003.0,macintosh,1,1.0
1,0.6017899916734264,0.17291219287002454,34.4,8.7,30,AB,8,CA,108,1,BB,0,0,201.4,windows,0,1.0
0,0.6007065223945236,0.5436904106589245,,46.9,20,AD,14,CA,34,0,BB,1,0,200.5,other,1,1.0
0,0.5978520943956744,0.07712771497027694,,157.6,50,AB,13,CB,188,0,BA,0,1,1502.8,other,1,1.0
0,0.7971083511665265,0.8866248824550514,,309.9,40,AC,9,CA,219,1,BB,0,0,502.3,windows,0,1.0
0,0.6992399766291841,0.6968814302607499,,138.6,30,AB,4,CF,44,0,BE,1,0,200.4,other,0,1.0
0,0.5988774351618802,0.6311730533635486,,149.9,50,AB,2,CA,85,1,BC,1,1,999.1,linux,0,1.0
0,0.6994047771084442,0.8281193154846007,32.5,47.3,20,AD,16,CA,34,1,BC,0,1,195.0,linux,1,1.0
0,0.6983459209085999,1.0374522052718111,,219.0,30,AA,6,CB,16,0,BD,0,0,193.7,other,1,1.0
0,0.797320024976539,0.6356642684875253,,66.5,40,AB,8,CA,217,0,BB,0,0,1504.1,linux,1,1.0
0,0.2055568164129181,0.176571218590621,26.0,150.7,20,AD,16,CF,34,0,BE,1,0,200.1,windows,0,1.0
0,0.8973216211392205,0.9141961411932227,,26.6,60,AB,14,CA,204,0,BB,1,0,1503.6,other,1,1.0
0,0.0994647129391674,0.23705948238304458,95.7,13.8,20,AA,7,CD,35,0,BB,0,1,196.7,other,1,1.0
0,0.3963640512747108,0.7575529530159123,,108.9,60,AC,8,CA,226,1,BB,1,0,201.1,other,0,1.0
1,0.7986462810586552,0.8867681858979022,3.2,157.6,30,AC,16,CA,260,0,BC,0,0,1496.5,other,0,1.0
0,0.5988183592516538,0.041247291801457066,,191.7,40,AC,2,CA,153,0,BB,1,1,500.5,linux,0,1.0
0,0.5022618793797096,0.6938240292427084,101.1,258.1,30,AB,8,CA,49,1,BB,0,0,200.2,linux,1,1.0
0,0.2037158541356794,0.46977547838423656,,8.0,40,AC,15,CA,235,0,BC,1,0,200.0,other,1,1.0
0,0.6002696857721275,0.20681973439743026,9.8,145.3,20,AA,8,CA,36,0,BC,1,0,200.2,linux,0,1.0
0,0.0961030980321523,0.1545630405586265,,46.4,30,AA,6,CB,216,1,BD,0,1,1002.2,other,1,1.0
0,0.9001951965456653,0.785564117047663,103.9,6.5,30,AC,16,CA,322,1,BC,0,0,498.0,windows,0,1.0
0,0.2957971296808002,0.9354422686312935,,190.1,40,AA,5,CE,153,1,BD,1,1,1502.0,linux,0,1.0
0,0.4993523597860862,0.4128091722431788,,28.8,50,AB,8,CA,72,1,BE,0,1,199.9,linux,0,1.0
0,0.1026926412646963,0.2471114624663172,152.3,175.7,20,AD,17,CA,194,1,BB,0,0,199.5,other,0,1.0
0,0.8035408301247358,0.9138440645938714,,336.7,30,AA,18,CD,40,0,BC,0,0,1494.1,windows,0,1.0
0,0.7975205561847655,0.11262768833605855,,132.5,20,AD,5,CA,224,0,BA,0,1,201.1,other,1,1.0
0,0.5977682625529575,0.16545043856927244,,95.3,30,AB,8,CA,217,0,BB,1,0,201.1,windows,1,1.0
0,0.1030293878562612,0.6107515568805701,,5.6,20,AB,9,CA,55,1,BE,1,0,200.5,other,1,1.0
0,0.7053594616760694,0.49169763071656425,106.9,8.9,30,AC,24,CA,85,1,BA,0,0,1500.2,linux,1,1.0
0,0.2951884201412621,0.7443340536436709,,75.1,30,AB,8,CA,209,0,BA,1,1,200.9,x11,0,1.0
0,0.7987014165461259,0.44853752056292284,,152.2,50,AD,4,CA,139,0,BB,1,0,1501.5,windows,1,1.0
0,0.1957970098021889,0.04179409371816078,,104.9,60,AC,5,CA,206,1,BA,1,1,1503.6,macintosh,1,1.0
0,0.4020829411465067,0.6894222245898901,,54.6,40,AC,13,CA,36,1,BE,1,0,200.2,windows,1,1.0
0,0.096225868763394,0.6667934666300074,,373.3,40,AC,9,CA,218,0,BB,0,0,201.1,other,0,1.0
0,0.5048222042971967,0.23503164583336605,,22.9,20,AD,21,CF,47,1,BE,1,0,998.7,windows,0,1.0
