age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
26,4,187705,11,4,12,1,4,0,0,0,68,26,0
54,4,569590,4,6,6,1,4,1,0,0,34,8,0
42,4,44504,9,4,0,4,4,1,0,0,60,39,0
26,4,201283,2,6,1,2,4,0,0,0,40,39,0
23,4,164754,11,0,3,1,4,0,0,0,50,39,1
38,4,191284,12,2,4,0,4,1,7697,0,40,39,1
59,4,195104,4,3,4,0,4,1,0,0,40,0,1
55,4,403539,9,2,7,0,4,1,0,0,45,39,0
23,2,226354,9,0,10,5,4,0,0,0,40,39,1
54,1,44251,1,4,0,1,4,0,0,0,40,39,0
46,7,126202,12,4,10,4,4,1,0,0,40,4,0
36,4,164249,15,4,0,3,4,1,0,0,13,39,0
64,4,564175,11,2,3,0,4,1,0,0,40,11,0
50,4,240146,9,2,14,0,1,1,0,0,40,39,0
18,4,224926,11,2,1,1,2,0,0,0,14,39,0
31,4,187856,15,4,6,3,4,0,3558,0,34,39,0
30,6,139467,9,2,10,0,4,1,6692,0,50,39,1
51,4,49615,6,0,1,1,2,0,0,0,40,39,0
55,4,368083,11,5,11,4,2,0,0,0,40,39,0
19,4,22980,0,2,4,0,4,1,7411,0,44,26,1
39,7,180646,2,2,3,4,4,0,0,0,40,24,0
63,1,550930,2,2,5,0,4,1,0,0,55,39,1
18,4,25708,9,0,10,1,4,0,0,0,26,39,1
33,8,160425,11,2,3,0,4,1,3847,0,40,39,0
36,1,185406,6,4,0,3,4,0,0,0,15,39,0
27,4,164053,15,4,0,3,4,1,0,0,40,39,0
57,4,305740,11,2,8,0,4,1,0,0,40,39,1
36,0,7296,15,4,3,2,4,1,0,0,40,39,0
60,4,162143,2,2,14,0,4,1,7908,0,40,39,1
46,4,195813,8,4,12,1,4,0,0,0,40,39,0
54,3,42519,8,2,1,0,4,1,0,0,40,2,0
39,4,193198,15,2,3,0,4,1,7851,1694,40,39,1
57,1,96555,9,2,10,0,2,1,0,0,60,39,1
38,0,38719,0,4,6,3,4,1,0,0,58,2,0
51,3,101885,15,4,1,4,4,0,0,0,34,40,0
55,8,401818,11,0,7,4,4,1,0,0,55,4,0
33,4,221708,13,2,4,0,4,1,99368,0,50,39,1
41,6,242457,11,4,8,1,4,1,0,0,40,11,0
31,6,80821,6,0,7,4,0,0,0,0,33,39,0
26,4,195437,1,4,1,1,2,1,0,0,36,39,0
19,8,99335,11,2,10,5,4,1,0,0,40,39,1
51,7,174247,11,2,12,0,1,1,0,0,40,39,0
41,6,197165,7,2,13,0,4,1,0,0,45,39,1
18,4,29358,7,0,6,5,4,1,4105,2606,60,39,0
65,4,157839,11,2,12,0,2,1,0,0,45,39,0
24,6,115025,4,2,10,0,2,1,0,0,40,39,1
18,4,4897,9,2,10,1,4,0,896,0,43,39,0
19,1,143203,14,2,12,5,4,1,14199,0,50,39,0
58,4,190329,11,2,7,0,4,1,0,1893,45,39,1
22,4,180328,14,4,12,3,4,1,3610,0,34,39,0
29,6,116412,11,2,13,1,4,1,0,0,40,39,0
21,6,280378,15,4,0,3,4,1,0,2001,25,39,0
41,5,128530,9,2,3,0,4,1,0,0,40,39,1
59,4,128871,5,2,12,0,3,1,0,0,40,39,0
55,4,241551,1,6,1,4,4,1,0,0,40,39,0
18,4,209503,11,0,4,2,4,0,17445,0,75,39,0
55,4,189414,11,4,1,3,3,1,0,0,55,39,0
20,4,241640,11,4,12,1,4,0,0,0,40,39,1
20,4,161408,2,4,0,2,4,1,0,0,40,39,0
63,4,87210,8,0,3,1,2,1,0,0,40,10,0
50,7,90664,0,6,3,4,2,0,0,0,55,0,0
44,3,121537,11,4,4,3,4,0,0,2356,12,39,0
38,4,109889,15,4,0,1,4,1,0,0,34,39,0
53,2,416455,15,2,4,0,4,1,0,0,60,40,1
34,4,307528,10,2,4,0,4,1,0,1581,40,39,1
54,7,135859,0,6,5,2,4,0,0,0,40,39,0
55,4,168669,11,2,14,0,4,1,0,0,40,28,1
26,4,167432,1,4,0,3,4,1,0,0,40,39,0
46,4,31408,15,2,7,0,2,1,0,0,35,39,0
51,4,197857,15,2,4,0,4,1,0,0,60,39,1
20,4,162045,11,5,0,5,4,1,0,0,43,39,0
38,4,278295,11,4,5,3,4,1,0,1889,40,39,0
25,4,162395,9,4,0,3,4,0,0,0,40,39,0
